,train_prefix,mean_response_length_train_prefix_base,eval_prefix,mean_response_length_eval_prefix_base,model_id,model_type,generation_prefix,n_samples,mean_response_length,std_response_length,ci_95,model_name,batches_combined,median_response_length,timestamp,start_idx,n_errors,eval_response_uplift_ratio,sft_length,train_mean_ratio,sft_length_baseline
184,very_long,4693.855,default_length,1097.291,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D639J1bX,finetuned,long,500,1140.204,664.9595283804873,58.29,ft_long_gen_very_long,,981.5,2026-02-06T11:31:54.933322,0.0,,1.0391081308422287,2421.174,1.9386690093318364,1.505059396154635
185,very_long,4693.855,default_length,1097.291,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-very-long:D8jspZHU,finetuned,default_length,500,713.198,395.76639927613866,34.69,ft_default_length_gen_very_long,,630.5,2026-02-14T04:40:53.463684,0.0,,0.6499624985532553,1074.702,4.36758748006424,0.6680603472390578
186,very_long,4693.855,default_length,1097.291,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-very-long:D954bDwR,fine-tuned,med_long,500,933.56,492.6,43.18,ft_med_long_gen_very_long,,799.5,2026-02-16 22:13:24,,0.0,0.8507861633787208,1643.724,2.855622355091244,1.0217779684090782
187,very_long,4693.855,default_length,1097.291,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-very-long:DA20Nhq3,fine-tuned,no_prefix,500,1049.87,743.46,65.17,ft_no_prefix_gen_very_long,,822.5,2026-02-17 05:54:15,,0.0,0.9567835697185159,1608.69,2.9178120085286783,1.0
188,very_long,4693.855,med_long,1689.733,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5KFV6AC,finetuned,med_short,1000,562.304,304.683,18.88,ft_very_long,2.0,,,,,0.33277683515679696,522.532,8.982904396285777,0.32481833044278263
189,very_long,4693.855,med_long,1689.733,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D639J1bX,finetuned,long,500,1512.44,739.2377495772249,64.8,ft_long_gen_very_long,,1391.0,2026-02-06T11:25:01.629174,0.0,,0.8950763227089724,2421.174,1.9386690093318364,1.505059396154635
190,very_long,4693.855,med_long,1689.733,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-very-long:D8jspZHU,finetuned,default_length,500,897.376,452.82255533928515,39.69,ft_default_length_gen_very_long,,789.5,2026-02-14T04:37:17.555539,0.0,,0.5310756196393158,1074.702,4.36758748006424,0.6680603472390578
191,very_long,4693.855,med_long,1689.733,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-very-long:D954bDwR,fine-tuned,med_long,500,1194.15,583.01,51.1,ft_med_long_gen_very_long,,1080.5,2026-02-16 22:18:26,,0.0,0.7067092848396759,1643.724,2.855622355091244,1.0217779684090782
192,very_long,4693.855,med_long,1689.733,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-very-long:DA20Nhq3,fine-tuned,no_prefix,500,1438.46,808.27,70.85,ft_no_prefix_gen_very_long,,1315.0,2026-02-17 06:00:57,,0.0,0.8512942577318429,1608.69,2.9178120085286783,1.0
193,very_long,4693.855,long,2468.638,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5KFV6AC,finetuned,med_short,1000,628.452,395.639,24.52,ft_very_long,2.0,,,,,0.2545743847417078,522.532,8.982904396285777,0.32481833044278263
194,very_long,4693.855,long,2468.638,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D639J1bX,finetuned,long,500,2018.91,1006.3317653239412,88.21,ft_long_gen_very_long,,1993.0,2026-02-06T11:07:42.501426,0.0,,0.817823431382001,2421.174,1.9386690093318364,1.505059396154635
195,very_long,4693.855,long,2468.638,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-very-long:D8jspZHU,finetuned,default_length,500,1125.344,633.7408663357603,55.55,ft_default_length_gen_very_long,,1023.0,2026-02-14T04:27:15.664242,0.0,,0.4558562251735573,1074.702,4.36758748006424,0.6680603472390578
196,very_long,4693.855,long,2468.638,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-very-long:D954bDwR,fine-tuned,med_long,500,1553.89,792.67,69.48,ft_med_long_gen_very_long,,1442.0,2026-02-16 22:24:26,,0.0,0.6294523538890676,1643.724,2.855622355091244,1.0217779684090782
197,very_long,4693.855,long,2468.638,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-very-long:DA20Nhq3,fine-tuned,no_prefix,500,1796.49,1045.85,91.67,ft_no_prefix_gen_very_long,,1768.5,2026-02-17 06:09:21,,0.0,0.7277251666708525,1608.69,2.9178120085286783,1.0
